filename,右腳底板,右小腿,右膝蓋,右大腿,右腰部,右手掌,右手臂,肩膀,左腳底板,左小腿,左膝蓋,左大腿,左腰部,左手掌,左手臂,左肩膀
站立,500,346,621,678,500,576,801,725,500,654,379,322,500,424,199,275
舉右手,500,346,621,678,500,576,801,725,500,654,379,322,500,424,199,630
右手微微舉高,500,346,621,678,500,525,802,725,500,654,379,322,500,424,199,400
右手舉高,500,346,621,678,500,576,801,725,500,654,379,322,500,424,199,1000
右手放下,500,346,621,678,500,576,801,725,500,654,379,322,500,424,199,0
右手往內舉,500,346,621,678,500,576,801,725,500,654,379,322,500,424,62,630
左手舉高,500,346,621,678,500,576,801,0,500,654,379,322,500,424,199,275
舉左手,500,346,621,678,500,576,801,330,500,654,379,322,500,424,199,275
左手微微舉高,500,346,621,678,500,525,802,800,500,654,379,322,500,424,199,275
左手放下,500,346,621,678,500,576,801,1000,500,654,379,322,500,424,199,275
左手往內舉,500,346,621,678,500,576,956,844,500,654,379,322,500,424,199,275
雙手張開,500,164,826,668,500,577,510,726,500,836,124,332,500,423,490,224
雙手舉高,515,378,495,588,500,600,870,0,480,550,536,373,500,400,130,1000
雙手舉到頭頂,478,437,471,628,500,600,870,0,480,628,505,412,500,400,130,1000
雙腳蹲低,500,161,461,325,500,579,801,725,500,795,149,246,500,424,199,275
雙手抱胸,496,382,503,594,499,578,929,472,497,612,494,402,500,424,65,518
右手向右揮動,494,375,503,595,498,577,797,726,497,619,492,402,499,424,333,1000
右手向左揮動,495,379,503,595,499,577,798,726,497,616,492,406,499,423,104,1000
左手向右揮動,494,376,503,594,499,578,928,0,497,618,491,404,500,424,201,272
左手向左揮動,494,376,502,595,499,576,697,0,497,619,491,404,500,424,200,273
右腳蹲低,500,233,504,415,479,576,798,725,500,771,311,406,476,423,201,274
右腳蹲下,500,120,555,366,492,577,798,725,500,888,196,395,497,423,201,274
右腳跪地,485,124,508,285,473,578,801,725,497,893,166,407,490,424,199,272
右腳向右抬起,483,386,504,594,498,576,798,725,496,611,496,406,426,424,202,269
右腳向前抬起,491,386,505,594,496,576,798,725,497,609,444,281,502,423,201,272
右腳向後抬起,497,384,503,595,498,577,798,725,497,652,450,502,500,423,201,274
左腳蹲低,491,413,631,799,488,578,800,723,489,744,317,326,480,423,200,274
左腳蹲下,494,233,869,823,478,577,798,725,482,960,186,423,465,424,200,274
左腳跪地,483,134,774,615,497,576,798,761,482,893,297,487,492,423,199,273
左腳向左抬起,497,385,498,595,585,576,796,726,497,613,496,406,503,424,200,274
左腳向前抬起,498,387,556,696,497,578,797,726,497,612,455,404,494,423,200,273
左腳向後抬起,496,361,500,554,480,578,798,722,497,613,474,329,480,424,201,275
左腳向前微微抬起,497,390,531,655,500,578,797,725,495,613,493,402,499,424,201,273
左腳向後微微抬起,496,335,500,574,499,578,797,723,497,612,473,347,501,424,201,274
左腳向左微微抬起,500,385,502,594,540,576,796,726,499,612,493,407,500,424,201,274
右腳向右微微抬起,496,386,504,594,499,577,798,725,494,611,494,405,472,424,200,272
右腳向後微微抬起,493,382,503,597,499,578,799,725,498,642,459,425,510,423,201,273
右腳向前微微抬起,496,387,504,593,497,577,799,725,497,610,444,341,500,423,201,271
左手完全放下,500,346,621,678,500,576,801,1000,500,654,379,322,500,424,199,275
右手完全放下,500,346,621,678,500,576,801,725,500,654,379,322,500,424,199,0
右手舉起來,500,346,621,678,500,576,801,725,500,654,379,322,500,424,199,1000
